Survey Collection ID,System,School,Survey Type,Delivery Method,Date,Primary Facilitator,Secondary Facilitator,Tertiary Facilitator,Quaternary Facilitator,Submitter Role,Clear about change we seek,Clear about roles and responsibilities,Confident plan will achieve goals,Feel more equipped,Equipped and supported,Understand state of instruction,Valuable use of my time:,Clarity direction of work ahead,I learned something:,Likely to recommend Instruction Partners
a152E00000EpDCyQAN,District/Network 32,School 69,Leader Coaching,Virtual,7/13/2021,Facilitator 10,Facilitator 33,Facilitator 13,Facilitator 16,Assistant Principal,,,,,,,Strongly Agree,,Strongly Agree,
a152E00000EpDCyQAN,District/Network 32,School 69,Leader Coaching,Virtual,7/13/2021,Facilitator 10,Facilitator 33,Facilitator 13,Facilitator 16,Principal,,,,,,,Strongly Agree,,Strongly Agree,
a152E00000EpDCyQAN,District/Network 32,School 72,Leader Coaching,Virtual,7/13/2021,Facilitator 10,Facilitator 33,Facilitator 13,Facilitator 16,Assistant Principal,,,,,,,Neutral,,Somewhat Disagree,
a152E00000EpDCyQAN,District/Network 32,School 72,Leader Coaching,Virtual,7/13/2021,Facilitator 10,Facilitator 33,Facilitator 13,Facilitator 16,Assistant Principal,,,,,,,Somewhat Agree,,Agree,
a152E00000EpDCyQAN,District/Network 32,School 73,Leader Coaching,Virtual,7/13/2021,Facilitator 10,Facilitator 33,Facilitator 13,Facilitator 16,Instructional Coach,,,,,,,Agree,,Strongly Agree,
a152E00000EpDCyQAN,District/Network 32,School 73,Leader Coaching,Virtual,7/13/2021,Facilitator 10,Facilitator 33,Facilitator 13,Facilitator 16,District Leader / CMO Leader,,,,,,,Strongly Agree,,Agree,
a152E00000EpDCyQAN,District/Network 32,School 73,Leader Coaching,Virtual,7/13/2021,Facilitator 10,Facilitator 33,Facilitator 13,Facilitator 16,Principal,,,,,,,Agree,,Agree,
a152E00000EpDCyQAN,District/Network 32,School 73,Leader Coaching,Virtual,7/13/2021,Facilitator 10,Facilitator 33,Facilitator 13,Facilitator 16,Assistant Principal,,,,,,,Agree,,Strongly Agree,
a152E00000EpDCyQAN,District/Network 32,School 73,Leader Coaching,Virtual,7/13/2021,Facilitator 10,Facilitator 33,Facilitator 13,Facilitator 16,Assistant Principal,,,,,,,Agree,,Strongly Agree,
a152E00000EpDCyQAN,District/Network 32,School 73,Leader Coaching,Virtual,7/13/2021,Facilitator 10,Facilitator 33,Facilitator 13,Facilitator 16,Assistant Principal,,,,,,,Strongly Agree,,Strongly Agree,
a152E00000EpDCyQAN,District/Network 32,,Leader Coaching,Virtual,7/13/2021,Facilitator 10,Facilitator 33,Facilitator 13,Facilitator 16,Superintendent / CMO Executive Director,,,,,,,Strongly Agree,,Strongly Agree,
a152E00000EpDD3QAN,District/Network 5,School 5,Leader Coaching,Virtual,7/15/2021,Facilitator 10,Facilitator 13,Facilitator 16,Facilitator 67,Assistant Principal,,,,,,,Agree,,Agree,
a152E00000EpDD3QAN,District/Network 5,School 5,Leader Coaching,Virtual,7/15/2021,Facilitator 10,Facilitator 13,Facilitator 16,Facilitator 67,Assistant Principal,,,,,,,Strongly Agree,,Agree,
a152E00000EpDD3QAN,District/Network 5,School 5,Leader Coaching,Virtual,7/15/2021,Facilitator 10,Facilitator 13,Facilitator 16,Facilitator 67,Assistant Principal,,,,,,,Agree,,Agree,
a152E00000EpDD3QAN,District/Network 5,School 5,Leader Coaching,Virtual,7/15/2021,Facilitator 10,Facilitator 13,Facilitator 16,Facilitator 67,Principal,,,,,,,Agree,,Agree,
a152E00000EpDD3QAN,District/Network 5,School 5,Leader Coaching,Virtual,7/15/2021,Facilitator 10,Facilitator 13,Facilitator 16,Facilitator 67,Principal,,,,,,,Agree,,Strongly Agree,
a152E00000EpDD3QAN,District/Network 5,School 5,Leader Coaching,Virtual,7/15/2021,Facilitator 10,Facilitator 13,Facilitator 16,Facilitator 67,Instructional Coach,,,,,,,Agree,,Somewhat Agree,
a152E00000EpDD3QAN,District/Network 5,School 11,Leader Coaching,Virtual,7/15/2021,Facilitator 10,Facilitator 13,Facilitator 16,Facilitator 67,Instructional Coach,,,,,,,Agree,,Agree,
a152E00000EpDD3QAN,District/Network 5,School 11,Leader Coaching,Virtual,7/15/2021,Facilitator 10,Facilitator 13,Facilitator 16,Facilitator 67,Assistant Principal,,,,,,,Strongly Agree,,Strongly Agree,
a152E00000EpDD3QAN,District/Network 5,School 11,Leader Coaching,Virtual,7/15/2021,Facilitator 10,Facilitator 13,Facilitator 16,Facilitator 67,District Leader / CMO Leader,,,,,,,Strongly Agree,,Strongly Agree,
a152E00000EpDD3QAN,District/Network 5,School 11,Leader Coaching,Virtual,7/15/2021,Facilitator 10,Facilitator 13,Facilitator 16,Facilitator 67,Instructional Coach,,,,,,,Strongly Agree,,Strongly Agree,
a152E00000EpDD3QAN,District/Network 5,School 11,Leader Coaching,Virtual,7/15/2021,Facilitator 10,Facilitator 13,Facilitator 16,Facilitator 67,Assistant Principal,,,,,,,Strongly Agree,,Strongly Agree,
a152E00000EpDD3QAN,District/Network 5,School 11,Leader Coaching,Virtual,7/15/2021,Facilitator 10,Facilitator 13,Facilitator 16,Facilitator 67,Other,,,,,,,Strongly Agree,,Agree,
